loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,avAudioRecorderPeakPower,avAudioRecorderAveragePower,label
1561914314.547431,1,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.531679,11.020751953125,27.15030479431152,-1.3927001953125,352.4173889160156,359.9108581542969,15,197029.714398125,-0.7016754150390625,0.705963134765625,0.0633392333984375,197029.697186125,-0.2042167850255651,0.1243712208033545,-0.1535038062838403,197029.695110125,-64.47683715820312,-1.999343872070312,-564.8258056640625,197029.697186125,1.219644706629599,-1.671261127366461,-0.7906226320319233,-0.2068030685186386,0.1178640797734261,-0.1567566692829132,-0.01095902919769287,-0.01094704866409302,-0.004645705223083496,1,-0.1803059428930283,0.7090585231781006,-0.5886524319648743,-0.3438230454921722,-0.6998564004898071,0.7107913494110107,0.07054844498634338,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-46.50188,1
1561914314.577661,2,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.531679,11.020751953125,27.15030479431152,-1.3927001953125,352.4173889160156,359.9108581542969,15,197029.734661125,-0.692169189453125,0.71038818359375,0.0615234375,197029.717449125,-0.1779577503612748,0.1454735766489244,-0.1031239889944843,197029.715221125,-64.905517578125,-1.8526611328125,-564.6138305664062,197029.717449125,1.214385370256987,-1.672329383573651,-0.7875246935350115,-0.1805440336465836,0.1389664262533188,-0.1063768491148949,0.0002924203872680664,-0.002645730972290039,-0.008179664611816406,1,-0.1797939389944077,0.7095305323600769,-0.5870071053504944,-0.3459239602088928,-0.7019678354263306,0.708608865737915,0.07151887565851212,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-46.74388,1
1561914314.582393,3,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.576066,11.04486083984375,27.30461120605469,-0.89373779296875,353.02734375,0.5208190679550171,15,197029.754925125,-0.686981201171875,0.7090301513671875,0.05810546875,197029.737713125,-0.1019221043945315,0.1309976982276896,-0.04518558789926543,197029.735302125,-64.69041442871094,-1.912734985351562,-564.3845825195312,197029.737713125,1.210503669659434,-1.672313300140178,-0.7856442904776659,-0.1045083925127983,0.1244905591011047,-0.04843845218420029,0.0111238956451416,0.003107428550720215,-0.01011896133422852,1,-0.179042711853981,0.7097640037536621,-0.5859435200691223,-0.3476333618164062,-0.7032931447029114,0.7072808146476746,0.07164246588945389,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-46.74388,1
1561914314.602344,4,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.599257,10.86397552490234,27.54109573364258,-0.88983154296875,353.0814819335938,0.574959397315979,15,197029.775189125,-0.6917724609375,0.7038116455078125,0.05999755859375,197029.757946125,-0.0269413365355686,0.09154749405201885,-0.009716010604936084,197029.755413125,-64.63880920410156,-1.885116577148438,-564.3489379882812,197029.757946125,1.208820021979946,-1.67135657860242,-0.7849360720210281,-0.02952762693166733,0.08504035323858261,-0.01296887546777725,0.01687848567962646,0.002250194549560547,-0.01291441917419434,1,-0.1784025877714157,0.7097058892250061,-0.5855879187583923,-0.3486788868904114,-0.7038597464561462,0.706779956817627,0.07101986557245255,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-47.29545,1
1561914314.623385,5,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.599257,10.86397552490234,27.54109573364258,-0.88983154296875,353.0814819335938,0.574959397315979,15,197029.795452125,-0.6959686279296875,0.701385498046875,0.0634613037109375,197029.778210125,0.008348211069071389,0.05221207211933049,0.00821452038234941,197029.775524125,-64.85797119140625,-2.070159912109375,-564.5968017578125,197029.778210125,1.208680896947574,-1.6701587157243,-0.7848249577366961,0.005761920474469662,0.0457049272954464,0.004961655475199223,0.01224994659423828,-0.002889752388000488,-0.01018691062927246,1,-0.1780397742986679,0.7095026969909668,-0.5856471657752991,-0.3491779863834381,-0.7040224075317383,0.7067013382911682,0.07018447667360306,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-47.44112,1
1561914314.656398,6,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.649484,10.95603942871094,27.11747550964355,-0.87945556640625,353.0406188964844,0.5340762138366699,15,197029.815716125,-0.6995697021484375,0.7021331787109375,0.0656280517578125,197029.798473125,0.01427853818445983,0.0239737761328933,0.01028912287152114,197029.795605125,-65.196533203125,-2.187088012695312,-564.3971557617188,197029.798473125,1.208928004275137,-1.669368632214989,-0.7850046962644254,0.01169224828481674,0.01746663078665733,0.007036257535219193,0.007982552051544189,-0.005442976951599121,-0.006154417991638184,1,-0.1778357177972794,0.7093534469604492,-0.5857981443405151,-0.3493318557739258,-0.7039511799812317,0.7068284749984741,0.06961570680141449,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-47.57184,1
1561914314.663192,7,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.649484,10.95603942871094,27.11747550964355,-0.87945556640625,353.0406188964844,0.5340762138366699,15,197029.835980125,-0.704132080078125,0.7027130126953125,0.061187744140625,197029.818737125,0.01198369227313856,0.02492372569372457,0.01072002233589596,197029.815716125,-65.10452270507812,-1.996429443359375,-564.5780029296875,197029.818737125,1.209256928455168,-1.668864536030121,-0.7851859033077605,0.009397401474416256,0.01841657981276512,0.007467157207429409,0.004289150238037109,-0.004823446273803711,-0.003620266914367676,1,-0.1777438074350357,0.7092469930648804,-0.5859382152557373,-0.3493600189685822,-0.7038588523864746,0.706956684589386,0.06924831867218018,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-47.57184,1
1561914314.683388,8,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.674426,11.07207489013672,27.50874900817871,-0.9676513671875,353.0542602539062,0.5477322340011597,15,197029.856213125,-0.7028350830078125,0.703887939453125,0.059814453125,197029.839001125,-0.006954578870632923,0.04679546877821832,0.01720402064191188,197029.835827125,-65.09196472167969,-1.898956298828125,-564.669189453125,197029.839001125,1.209186589864388,-1.668324967710607,-0.7854775539408981,-0.009540868923068047,0.04028832539916039,0.01395115535706282,-0.0004415512084960938,-0.004449963569641113,-0.007660627365112305,1,-0.1774629354476929,0.7091763615608215,-0.5860346555709839,-0.3494840562343597,-0.7036905288696289,0.7071629166603088,0.06884840875864029,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-48.35545,1
1561914314.706525,9,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.700119,10.97577667236328,27.44364356994629,-0.6422119140625,353.0662841796875,0.5597559809684753,15,197029.876476125,-0.70184326171875,0.70660400390625,0.0621185302734375,197029.859264125,-0.004973985967940993,0.06308549253401501,0.01971085417600347,197029.855908125,-64.87986755371094,-2.047897338867188,-564.4019775390625,197029.859264125,1.208841914644742,-1.667514780024585,-0.7857579985971886,-0.007560275960713625,0.05657834559679031,0.01645798794925213,0.0007138252258300781,-0.003473222255706787,-0.008444666862487793,1,-0.1770090162754059,0.7090820670127869,-0.5861046314239502,-0.3497883677482605,-0.7035489082336426,0.7073611617088318,0.06825914233922958,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-44.2221,1
1561914314.736945,10,0,0,1561914314.019567,4.634634093385781,-74.15102558217397,2552.7,0.35,103.0078125,4,10,-9999,1561914314.724365,10.95558929443359,27.3161792755127,-0.7491455078125,353.017822265625,0.511296808719635,15,197029.896740125,-0.6999664306640625,0.7063140869140625,0.06402587890625,197029.879528125,0.0201353620537621,0.04646283995806743,0.0272840853678618,197029.876019125,-64.89244079589844,-1.93304443359375,-564.6495361328125,197029.879528125,1.208929853658964,-1.666402179766365,-0.7861713883869433,0.0175490714609623,0.03995569795370102,0.02403122000396252,0.001490116119384766,-0.001049280166625977,-0.00532984733581543,1,-0.1765751391649246,0.7089043855667114,-0.5863044261932373,-0.3500329554080963,-0.7033333778381348,0.7076533436775208,0.06744841486215591,0,0,0,-1,197028.006980125,3,2,1561914312.844517,1561913957.287787,16,1.221493,0,0,13.06835,0,0,1561914226.950748,197027.006323,0,0.9248047,75.29646,3232235528,177845136,1,1,0.54,-39.30569,-44.76874,1
