loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,avAudioRecorderPeakPower,avAudioRecorderAveragePower,label
1562003712.963782,1,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003712.939404,-18.00803375244141,-6.718440055847168,21.78338623046875,86.63672637939453,94.13069915771484,15,10202.044561875,-1.034927368164062,-0.2050323486328125,-0.552520751953125,10202.044561875,-1.371604926746311,1.496556982983412,-3.364922679442748,10202.038916875,-19.0970458984375,3.526412963867188,-518.756591796875,10202.039495875,-2.621734739720146,-1.208594118690484,0.3423803779196016,-1.37440824508667,1.495095252990723,-3.355700254440308,-0.2082075476646423,0.06491726636886597,-0.1734492182731628,1,0.505041778087616,0.279371976852417,0.8085114359855652,-0.114862397313118,-0.8808428049087524,-0.335730254650116,-0.3337681889533997,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10198.739598,0,0.2299805,75.29783,3232235528,182473588,1,1,0.31,-18.4902,-29.44962,0
1562003712.966275,2,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003712.939404,-18.00803375244141,-6.718440055847168,21.78338623046875,86.63672637939453,94.13069915771484,15,10202.064825875,-0.8672637939453125,-0.0576019287109375,-0.6763458251953125,10202.064825875,-1.122253153882192,1.385443777034799,-3.071201843869582,10202.059027875,-19.45356750488281,1.255203247070312,-519.4567260742188,10202.059759875,-2.675789121891869,-1.159302864874257,0.3945292283872951,-1.232751488685608,1.421998381614685,-3.198080539703369,-0.1097718477249146,0.2541703879833221,-0.2422599792480469,1,0.4847627580165863,0.2835126519203186,0.8230533003807068,-0.08490588515996933,-0.8461149334907532,-0.3843736350536346,-0.3692512810230255,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10198.739598,0,0.2299805,75.29783,3232235528,182473588,1,1,0.31,-18.4902,-29.44962,0
1562003712.969629,3,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003712.939404,-18.00803375244141,-6.718440055847168,21.78338623046875,86.63672637939453,94.13069915771484,15,10202.085089875,-0.6810150146484375,0.052398681640625,-0.806304931640625,10202.085089875,-0.2500599073979711,1.195741752582383,-2.235790047832663,10202.079107875,-19.63948059082031,0.002777099609375,-519.9471435546875,10202.080023875,-2.721705466555833,-1.113947522776391,0.4396103326179566,-0.5381994247436523,1.21821916103363,-2.491708517074585,0.03904438018798828,0.4323770403862,-0.3380032777786255,1,0.4660007953643799,0.2885369956493378,0.8342657089233398,-0.05992067232728004,-0.8121156096458435,-0.4255868792533875,-0.3991793096065521,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10198.739598,0,0.2299805,75.29783,3232235528,182473588,1,1,0.31,-18.4902,-29.44962,0
1562003712.990262,4,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003712.977693,-18.49142074584961,-10.21990966796875,20.57733154296875,92.94624328613281,100.4402160644531,15,10202.105352875,-0.6205291748046875,0.1825408935546875,-0.9017333984375,10202.105352875,1.149875727024603,1.335532143465079,-1.177516409662426,10202.099188875,-19.33364868164062,-0.3791656494140625,-520.3313598632812,10202.100286875,-2.740216290963902,-1.081227565921669,0.4758737627958238,0.7642754316329956,1.279207468032837,-1.422003626823425,0.1525521874427795,0.5711677074432373,-0.4398208856582642,1,0.4498393833637238,0.2977342307567596,0.8406950831413269,-0.0472303070127964,-0.7844796776771545,-0.4581153094768524,-0.4179977178573608,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10199.682907,0,-0.237793,75.30223,3232235528,182473588,1,1,0.31,-19.04748,-30.17328,0
1562003713.010065,5,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003713.002082,-18.28988265991211,-10.86653709411621,20.1126708984375,92.2542724609375,99.74824523925781,15,10202.125616875,-0.6844940185546875,0.2386932373046875,-0.94036865234375,10202.125616875,2.935533227406002,1.466749286166591,-0.6148392071766315,10202.119268875,-19.64064025878906,-0.1197967529296875,-520.6419677734375,10202.120550875,-2.719111172430266,-1.063654881984781,0.5092930990634218,2.486910104751587,1.430107474327087,-0.6915634274482727,0.1193088889122009,0.7095144987106323,-0.5171501636505127,1,0.4343250393867493,0.3151833117008209,0.8423318862915039,-0.04998298734426498,-0.7631992697715759,-0.4875601828098297,-0.4240424931049347,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10199.682907,0,-0.237793,75.30223,3232235528,182473588,1,1,0.31,-19.60476,-30.25426,0
1562003713.037697,6,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003713.028616,-19.04539489746094,-9.887681007385254,19.70709228515625,88.06646728515625,95.56044006347656,15,10202.145849875,-0.66717529296875,0.24432373046875,-0.90045166015625,10202.145849875,3.910991077790263,1.544715457607533,-0.5615022158128516,10202.139349875,-20.22796630859375,0.868743896484375,-520.6737060546875,10202.140814875,-2.659180926825809,-1.063828135492295,0.5520612589244664,3.808618068695068,1.53801953792572,-0.5739457011222839,0.05357038974761963,0.7713916301727295,-0.5018665194511414,1,0.4177498519420624,0.344651073217392,0.8382264971733093,-0.06385152786970139,-0.7443509697914124,-0.5244433879852295,-0.4134013950824738,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10199.682907,0,-0.237793,75.30223,3232235528,182473588,1,1,0.31,-20.16204,-30.26859,0
1562003713.050881,7,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003713.028616,-19.04539489746094,-9.887681007385254,19.70709228515625,88.06646728515625,95.56044006347656,15,10202.166113875,-0.5709075927734375,0.2859039306640625,-0.884429931640625,10202.166113875,3.689978268401787,1.531647858770732,-0.2572315338974455,10202.159429875,-20.68519592285156,1.947738647460938,-520.7986450195312,10202.161047875,-2.583012571228591,-1.074439507690542,0.5990389813161794,3.80527400970459,1.505397319793701,-0.3890959024429321,0.1059897541999817,0.8146119713783264,-0.4973516464233398,1,0.4001362919807434,0.378469318151474,0.830702543258667,-0.08114960044622421,-0.7262137532234192,-0.5638490319252014,-0.3933038413524628,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10199.682907,0,-0.237793,75.30223,3232235528,182473588,1,1,0.31,-20.71932,-30.57869,0
1562003713.070962,8,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003713.053437,-19.52536010742188,-8.77650260925293,19.6600341796875,82.56645202636719,90.0604248046875,15,10202.186376875,-0.499267578125,0.34295654296875,-0.86334228515625,10202.186376875,3.165096381790288,1.844736799687608,0.4035237662654602,10202.179510875,-21.68171691894531,3.024520874023438,-520.9688720703125,10202.181311875,-2.506217100115565,-1.086652319960399,0.6345143214942571,3.278218984603882,1.741176724433899,0.2410751134157181,0.173114538192749,0.9108253717422485,-0.4964214563369751,1,0.3831921517848969,0.4071069657802582,0.8229581713676453,-0.1008339673280716,-0.7128026485443115,-0.592786431312561,-0.3748553991317749,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10199.682907,0,-0.237793,75.30223,3232235528,182473588,1,1,0.31,-21.2766,-31.22524,0
1562003713.091254,9,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003713.079022,-20.37020111083984,-7.658683776855469,19.5078125,77.11507415771484,84.60904693603516,15,10202.206640875,-0.4325408935546875,0.3643798828125,-0.802825927734375,10202.206640875,3.116525916145531,1.949287177761939,0.9833514598552561,10202.199621875,-22.21806335449219,4.799896240234375,-521.3883056640625,10202.201574875,-2.429716390235423,-1.094049849106745,0.6538053434210972,3.056548357009888,1.993790626525879,0.8454579710960388,0.2591116428375244,0.9639395475387573,-0.4702622890472412,1,0.3661569356918335,0.4287202060222626,0.8163501620292664,-0.1253017783164978,-0.7052633762359619,-0.6082113981246948,-0.3642561733722687,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10199.682907,0,-0.237793,75.30223,3232235528,182473588,1,1,0.31,-21.83388,-25.93812,0
1562003713.117779,10,0,0,1562003708.045583,4.634792273876294,-74.15098887169741,2563.688,-1,-1,10,65,-9999,1562003713.103535,-20.98226165771484,-6.047755241394043,19.04669189453125,71.171875,78.66584777832031,15,10202.226904875,-0.463775634765625,0.44482421875,-0.701141357421875,10202.226904875,3.829858940445436,1.600957158772262,1.246664055785789,10202.219702875,-23.16590881347656,6.710403442382812,-522.0174560546875,10202.221838875,-2.342627728995514,-1.110051234450778,0.6644499850389958,3.598675489425659,1.665178179740906,1.22226345539093,0.2506333589553833,1.015063762664795,-0.4206035137176514,1,0.3511169254779816,0.4491143822669983,0.807002067565918,-0.1541455835103989,-0.7051621675491333,-0.6166262030601501,-0.3500263392925262,0,0,0,-1,10200.344542625,3,2,1562003711.218535,0,0,0,0,0,0,0,0,0,10199.682907,0,-0.237793,75.30223,3232235528,182473588,1,1,0.31,-22.39116,-26.73267,0
