loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,avAudioRecorderPeakPower,avAudioRecorderAveragePower,label
1561841523.820256,1,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.78631,7.348793029785156,-18.43252563476562,18.40728759765625,203.2067108154297,210.6999206542969,15,169340.1150981667,-0.248870849609375,-0.95672607421875,-0.1081085205078125,169340.1150981667,0.1103821682293862,0.02478204552373235,-0.07043421924597966,169340.1004801667,-65.09744262695312,-44.48468017578125,-541.844970703125,169340.1100021667,-0.07495022152912505,-1.164472201822987,1.295090001085875,0.1240297853946686,0.008223600685596466,-0.07690215855836868,-0.003600358963012695,0.0004106760025024414,-0.001338958740234375,1,0.4870534539222717,-0.4571456611156464,-0.3564376533031464,0.6532602310180664,-0.2500617802143097,-0.9622331857681274,-0.1075935587286949,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-43.40583,5
1561841523.838599,2,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.837045,7.367179870605469,-18.27803039550781,18.58740234375,203.1708068847656,210.6640167236328,15,169340.1353311667,-0.2429656982421875,-0.9517974853515625,-0.10357666015625,169340.1353311667,0.07486252350656342,0.0496783406582291,-0.06863232445243204,169340.1205911667,-65.04493713378906,-44.26258850097656,-541.8331298828125,169340.1302651667,-0.07059132667099395,-1.168184728157603,1.297212187636646,0.07534133642911911,0.03545308858156204,-0.07105492055416107,0.004317730665206909,0.008554518222808838,0.0002733469009399414,1,0.4881064891815186,-0.45696821808815,-0.3563656210899353,0.6526374816894531,-0.2485804259777069,-0.9628087282180786,-0.1058642044663429,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-44.24747,5
1561841523.858887,3,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.837045,7.367179870605469,-18.27803039550781,18.58740234375,203.1708068847656,210.6640167236328,15,169340.1555951667,-0.234466552734375,-0.9476165771484375,-0.0957489013671875,169340.1555951667,0.09766983508200201,0.004995823888879643,-0.054346595733029,169340.1407021667,-64.96363830566406,-44.091064453125,-541.5462646484375,169340.1505291667,-0.06768131013056532,-1.170249454362415,1.299064552853925,0.08104503154754639,0.01974097453057766,-0.06379914283752441,0.008156925439834595,0.01378363370895386,0.005137085914611816,1,0.4890289306640625,-0.4566434323787689,-0.3563117384910583,0.6522034406661987,-0.2471553385257721,-0.9633075594902039,-0.104654960334301,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-44.24747,5
1561841523.879152,4,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.863133,7.617805480957031,-18.2424201965332,18.84307861328125,203.03759765625,210.5308074951172,15,169340.1758591667,-0.234283447265625,-0.9434967041015625,-0.088958740234375,169340.1758591667,0.165023043262869,-0.05329890816019182,-0.01838912732699714,169340.1608141667,-65.13853454589844,-44.05136108398438,-541.8372192382812,169340.1707931667,-0.06123871997357077,-1.176793958854334,1.300833886612462,0.1501636505126953,-0.05121815577149391,-0.03132348880171776,0.01119902729988098,0.01958227157592773,0.01183509826660156,1,0.4899303615093231,-0.456922173500061,-0.3561891913414001,0.6513981223106384,-0.2462606877088547,-0.96378093957901,-0.1023807376623154,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-44.58795,5
1561841523.900071,5,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.887566,7.421875,-17.99767684936523,18.7193603515625,203.0529937744141,210.5462036132812,15,169340.1961221667,-0.2413177490234375,-0.9517364501953125,-0.0933837890625,169340.1961221667,0.1997642459990617,-0.08371300675722375,-0.002431199759133337,169340.1809251667,-65.2276611328125,-44.29281616210938,-541.796630859375,169340.1910561667,-0.04949911513228336,-1.189498459215237,1.302434601883548,0.1928703635931015,-0.08519609272480011,-0.007241589482873678,0.01132255792617798,0.01605594158172607,0.008612513542175293,1,0.490889698266983,-0.4579218029975891,-0.3558280766010284,0.6501702070236206,-0.2461095452308655,-0.9642065763473511,-0.09866984933614731,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-45.34365,5
1561841523.919639,6,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.916992,7.558891296386719,-17.78245162963867,18.822998046875,203.1188201904297,210.6120300292969,15,169340.2163861667,-0.2469482421875,-0.9582061767578125,-0.0867462158203125,169340.2163861667,0.2089686633585935,-0.1568838903393688,-0.01206145657696887,169340.2010051667,-65.02325439453125,-44.01167297363281,-541.8125,169340.2113201667,-0.03543047056985391,-1.205195070760959,1.304031123044156,0.2065606117248535,-0.137804701924324,-0.009363329969346523,0.001515567302703857,0.009031772613525391,0.00433957576751709,1,0.4918544888496399,-0.4593005180358887,-0.355465292930603,0.6486653089523315,-0.246190220117569,-0.9646286964416504,-0.09424439072608948,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-46.18623,5
1561841523.940142,7,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.938201,7.685035705566406,-17.74025344848633,18.68402099609375,203.3281860351562,210.8213958740234,15,169340.2366501667,-0.247955322265625,-0.9588165283203125,-0.07806396484375,169340.2366501667,0.2225787481094435,-0.2811230183526554,-0.08294628267938994,169340.2211161667,-64.94651794433594,-43.98123168945312,-541.9658813476562,169340.2315841667,-0.02134924308988274,-1.22269801748416,1.306100103114472,0.2142747193574905,-0.2501818537712097,-0.06615017354488373,-0.001022994518280029,0.005211055278778076,0.008933067321777344,1,0.4926632046699524,-0.4611538946628571,-0.3556749820709229,0.6466184258460999,-0.2459252625703812,-0.9651719927787781,-0.08924010396003723,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-46.35014,5
1561841523.960717,8,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.938201,7.685035705566406,-17.74025344848633,18.68402099609375,203.3281860351562,210.8213958740234,15,169340.2569131667,-0.25323486328125,-0.96978759765625,-0.0688934326171875,169340.2569131667,0.2090150023615609,-0.278521642599866,-0.1039823258138168,169340.2412271667,-64.90928649902344,-43.77751159667969,-541.6566772460938,169340.2518171667,-0.007716746184857201,-1.241922479456082,1.309431807438241,0.2177213877439499,-0.3134079575538635,-0.109258234500885,-0.01046982407569885,0.0009045600891113281,0.008109092712402344,1,0.4934735298156738,-0.4634170830249786,-0.3567748963832855,0.6437702178955078,-0.2445503026247025,-0.9660382866859436,-0.08345696330070496,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-47.08606,5
1561841523.98306,9,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.967238,7.638572692871094,-17.7615852355957,18.93206787109375,203.6737213134766,211.1669311523438,15,169340.2771771667,-0.2338714599609375,-0.963958740234375,-0.05523681640625,169340.2771771667,0.1173252955073318,-0.1311814563429051,-0.07251574595398559,169340.2613381667,-64.98336791992188,-43.85606384277344,-541.6217651367188,169340.2720811667,0.003548847053896863,-1.257748420919551,1.312566710056553,0.1421150416135788,-0.1673791110515594,-0.08759474754333496,0.00069427490234375,0.0004587173461914062,0.02207911014556885,1,0.4942699670791626,-0.4651617705821991,-0.3577896058559418,0.6413332223892212,-0.2429580837488174,-0.9668436050415039,-0.07864345610141754,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-47.14231,5
1561841524.000699,10,0,0,1561841522.996152,4.634553710934365,-74.15087940178266,2553.97,1.39,86.484375,4,30,-9999,1561841523.989193,7.763946533203125,-17.59366989135742,18.83392333984375,203.8566436767578,211.349853515625,15,169340.2974101667,-0.2306671142578125,-0.9609832763671875,-0.0722503662109375,169340.2974101667,0.04918538954045543,-0.06423091811885809,-0.007413974158671591,169340.2814501667,-64.62297058105469,-43.81895446777344,-541.5928955078125,169340.2923441667,0.00931374439579217,-1.265656522733013,1.314308322600564,0.06065560132265091,-0.08381790667772293,-0.02955781482160091,0.01216849684715271,0.005479574203491211,0.01118069887161255,1,0.4947521090507507,-0.4659544229507446,-0.3583063185214996,0.6400963664054871,-0.2419658452272415,-0.9672868847846985,-0.07621365040540695,0,0,0,-1,169338.56576325,1,2,1561841522.512262,1561841239.621676,8,3.056457,0,0,7.575853,0,0,1561841413.282218,169337.656307,0,-0.2587891,75.19539,0,182478453,1,1,1,-43.04941,-47.14231,5
