loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,avAudioRecorderPeakPower,avAudioRecorderAveragePower,label
1561240745.356151,1,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.319734,-5.106349945068359,14.19013023376465,21.79461669921875,73.60401153564453,81.14769744873047,15,63205.70581387501,-0.6637725830078125,0.7238311767578125,0.1496734619140625,63205.69467487501,0.1258830973541925,-0.08589626621887071,0.01134266939875648,63205.684634875,33.49824523925781,14.90518188476562,-511.0995483398438,63205.699740875,-2.401791267393805,-1.785108174444651,-0.8347419445695415,0.1140028312802315,-0.08794081211090088,0.01008619740605354,-0.005977213382720947,-0.0185890793800354,0.008782148361206055,1,0.7556342482566833,0.02021409943699837,0.4206593632698059,-0.5016512870788574,-0.6560100913047791,0.7411232590675354,0.14278344810009,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-28.51436,2
1561240745.370037,2,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.367805,-5.117988586425781,14.45113086700439,21.86865234375,73.32508850097656,80.8687744140625,15,63205.72607687501,-0.665191650390625,0.7237701416015625,0.145660400390625,63205.714937875,0.09839288331795852,-0.07049520563494248,0.01496829690679036,63205.704775875,33.69364929199219,15.01055908203125,-511.1178588867188,63205.720003875,-2.398941944283919,-1.78463755048874,-0.8353695327729184,0.09444697946310043,-0.07255174219608307,0.006510636769235134,-0.008729755878448486,-0.01844573020935059,0.005496859550476074,1,0.7554788589477539,0.02096873708069324,0.4199666380882263,-0.5024341940879822,-0.655622661113739,0.7415444850921631,0.1423759907484055,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-28.51436,2
1561240745.390773,3,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.367805,-5.117988586425781,14.45113086700439,21.86865234375,73.32508850097656,80.8687744140625,15,63205.746340875,-0.666717529296875,0.725250244140625,0.139892578125,63205.735201875,0.1063253749408686,-0.07047496561065787,-0.002895655053243156,63205.72491787501,33.62709045410156,15.0196533203125,-510.87451171875,63205.740237875,-2.396060782284906,-1.784041798983506,-0.8357520075754588,0.1075454652309418,-0.0757448673248291,-0.01145744416862726,-0.01070773601531982,-0.01751214265823364,0.001766681671142578,1,0.7553066611289978,0.02178295701742172,0.4193724095821381,-0.5031541585922241,-0.6554298996925354,0.7418010234832764,0.1419253051280975,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-28.63101,2
1561240745.416564,4,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.394776,-5.223430633544922,14.49618911743164,22.03369140625,72.90277862548828,80.44646453857422,15,63205.766604875,-0.6664581298828125,0.7292022705078125,0.140625,63205.755465875,0.1263691242531319,-0.06090835834287523,-0.02368961684458185,63205.745028875,33.64570617675781,14.84661865234375,-511.3670043945312,63205.760500875,-2.392491799247206,-1.78285287620018,-0.835776047843152,0.124143622815609,-0.06840147078037262,-0.02904868870973587,-0.01006859540939331,-0.01414072513580322,-0.0003950595855712891,1,0.7550166845321655,0.02282340824604034,0.4189168214797974,-0.5039222240447998,-0.6555808186531067,0.7418171763420105,0.1411422044038773,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-29.56865,2
1561240745.430879,5,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.420861,-5.097427368164062,14.62782859802246,21.84237670898438,72.63349914550781,80.17718505859375,15,63205.786867875,-0.665802001953125,0.7314453125,0.1379241943359375,63205.77572887501,0.1306887715412405,-0.06109850804470689,-0.02344141023098646,63205.76516987501,33.55888366699219,15.06288146972656,-510.848388671875,63205.780764875,-2.388618385646998,-1.781350990480342,-0.8357042721467013,0.1282893568277359,-0.06266795098781586,-0.02622706815600395,-0.01036983728408813,-0.01126974821090698,-0.002488493919372559,1,0.7546599507331848,0.02392992377281189,0.4185248017311096,-0.5047303438186646,-0.6558441519737244,0.741769015789032,0.1401685625314713,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-29.63057,2
1561240745.451062,6,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.445269,-4.938331604003906,14.49895668029785,21.844482421875,72.35586547851562,79.89955139160156,15,63205.807110125,-0.666595458984375,0.730438232421875,0.1367340087890625,63205.795971125,0.1300213833720666,-0.06244500229185095,-0.02790353663741423,63205.785320125,33.64422607421875,14.98336791992188,-511.0618286132812,63205.80103712501,-2.384684939087274,-1.779800168620299,-0.8356038764050425,0.129101887345314,-0.06719372421503067,-0.03311826661229134,-0.01037043333053589,-0.01024115085601807,-0.001303553581237793,1,0.7542914748191833,0.02505473606288433,0.4181413948535919,-0.5055436491966248,-0.6561335325241089,0.7417016625404358,0.1391667425632477,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-30.41103,2
1561240745.471439,7,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.445269,-4.938331604003906,14.49895668029785,21.844482421875,72.35586547851562,79.89955139160156,15,63205.827373125,-0.6649627685546875,0.7319793701171875,0.13763427734375,63205.81623412501,0.1377970148067709,-0.05855625446811725,-0.04605617525961233,63205.805431125,33.93891906738281,14.85008239746094,-511.389892578125,63205.821300125,-2.380513742325371,-1.778017028053915,-0.8352315990247624,0.1345163583755493,-0.06145807355642319,-0.05193163082003593,-0.009059786796569824,-0.0117613673210144,-0.001395702362060547,1,0.7538800239562988,0.02629760466516018,0.417851597070694,-0.5063331723213196,-0.6566506624221802,0.7414519190788269,0.1380533128976822,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-30.49416,2
1561240745.496462,8,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.47157,-5.09478759765625,14.46188259124756,21.85797119140625,72.05781555175781,79.60150146484375,15,63205.84763712501,-0.665679931640625,0.7353057861328125,0.1402587890625,63205.83649812501,0.1415547351048727,-0.04746765063735433,-0.05071377769005191,63205.825573125,33.79843139648438,14.87521362304688,-511.5896606445312,63205.841564125,-2.376154885040596,-1.775925613427713,-0.8346979966194372,0.1404528021812439,-0.05469977110624313,-0.05067967996001244,-0.008125841617584229,-0.007497012615203857,0.001652121543884277,1,0.7534050941467285,0.02758422493934631,0.4176691174507141,-0.5071215629577637,-0.6573252081871033,0.7410937547683716,0.1367602497339249,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-30.67511,2
1561240745.512242,9,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.49661,-5.171566009521484,14.62173271179199,21.66827392578125,71.74257659912109,79.28626251220703,15,63205.86790112501,-0.66461181640625,0.7369842529296875,0.1432037353515625,63205.856762125,0.1506145428172133,-0.05379851718069069,-0.05018700442643424,63205.845714125,33.80458068847656,15.2208251953125,-511.3241577148438,63205.861828125,-2.371528123329588,-1.773657252932607,-0.834209410716504,0.1479807645082474,-0.06001810356974602,-0.05519320443272591,-0.007035493850708008,-0.004406988620758057,0.006702184677124023,1,0.7528845071792603,0.02891038730740547,0.4174719750881195,-0.5079824328422546,-0.6579883098602295,0.7407656311988831,0.1353417783975601,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-30.67511,2
1561240745.53217,10,0,0,1561240743.762435,4.603094762413296,-74.06478293064528,2651.616,-1,-1,10,65,-9999,1561240745.522149,-4.795368194580078,14.81423950195312,21.56240844726562,71.40804290771484,78.95172882080078,15,63205.888164125,-0.6642303466796875,0.7367401123046875,0.14599609375,63205.877025125,0.1535906253353768,-0.06635159329488818,-0.06350440777348447,63205.865825125,34.05915832519531,15.50433349609375,-511.1597900390625,63205.882091125,-2.366737273615929,-1.771514331519172,-0.8335504853186009,0.1506372690200806,-0.07554113864898682,-0.07099560648202896,-0.005612552165985107,-0.003308117389678955,0.01048731803894043,1,0.7523903250694275,0.03038394637405872,0.4172266721725464,-0.5088295340538025,-0.6587551236152649,0.7403228282928467,0.1340287774801254,0,0,0,-1,63203.806937375,2,0,1561240743.469852,1561239991.781823,76,5.095047,0,0,66.78877,0,0,1561240729.863841,63202.855885,0,-1.141602,74.4259,2650659446,177292352,1,1,0.31,-27.22192,-31.37021,2
